person_number,1_Plur,1_Sing,2_Plur,2_Sing,3_None,3_Plur,3_Sing,None_None,Total
1_Plur,42.86,17.86,7.14,0.0,7.14,10.71,10.71,3.57,100.0
1_Sing,0.08,58.84,14.2,0.37,0.09,5.19,21.17,0.06,100.0
2_Plur,1.65,69.94,21.51,0.05,0.42,3.08,2.44,0.9,100.0
2_Sing,2.51,30.47,3.58,47.67,0.0,4.3,11.11,0.36,100.0
3_Plur,25.17,55.6,4.98,0.32,7.87,2.31,3.6,0.16,100.0
3_Sing,10.59,57.15,2.1,0.32,21.66,2.9,5.17,0.12,100.0
None_Plur,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
None_Sing,0.0,59.09,7.58,0.0,6.06,1.52,24.24,1.52,100.0
